term;num
و;1437
در;1291
به;1216
از;1146
می;1061
که;965
آیا;902
چه;872
برای;797
با;776
را;771
است;718
یا;598
من;516
کنم;483
سلام;482
های;471
این;466
چگونه;400
باید;384
چیست;366
دارد;364
هم;336
یک;333
رو;303
شود;283
شده;266
استفاده;266
ها;255
تا;238
دارم;234
کار;232
کرد;227
اگر;220
آن;215
کنید;210
باشد;207
شما;200
میشه;196
ولی;196
کنیم;194
نظر;194
ای;192
وجود;189
هستم;183
خود;170
خیلی;170
هست;169
انجام;166
چرا;166
اینکه;156
کند;153
صورت;151
داره;147
نمی;142
کسی;140
لطفا;139
اما;138
چند;133
یه;130
کردن;126
ام;126
مورد;124
کرده;123
روی;122
کردم;121
بعد;120
هر;118
باشه;117
تو;114
بین;111
بر;111
سال;111
هستند;110
چطور;109
دارند;109
پیش;109
ی;106
نه;105
راهنمایی;105
کدام;105
توانم;103
ممنون;101
ایران;100
ما;99
بهترین;99
مشکل;99
توان;98
مصرف;98
دو;98
روز;97
میخواستم;97
خرید;97
شرکت;97
ساله;95
خوب;94
داشته;93
هایی;92
کنند;91
ازدواج;88
اگه;88
مدت;87
همه;86
بدون;85
کم;84
بهتره;83
امکان;83
راه;83
دیگه;82
زمان;82
چون;81
شدن;81
وزن;81
ماه;80
دریافت;80
مناسب;79
فقط;79
بدونم;79
تشکر;78
زبان;77
یکی;77
برنامه;75
داد;74
پیشنهاد;74
خسته;72
هزینه;72
نوع;72
بیمه;72
چیه;71
بهتر;70
ایا;70
تواند;70
او;69
نیست;69
قرار;69
پس;68
الان;68
چقدر;68
مثل;67
بود;66
بیشتر;66
شوند;65
پذیرش;64
وقت;64
بشه;64
نیاز;64
چی;64
دانشگاه;63
شد;63
میخوام;63
کمک;62
خودم;62
دیگر;62
آب;61
هیچ;61
حال;61
کجا;61
توجه;61
دوست;60
زمانی;60
میکنم;60
شدم;60
میشم;59
پیدا;59
زندگی;59
هنگام;58
نصب;58
پرداخت;58
باعث;58
تهیه;57
چیزی;56
وقتی;56
درست;56
شرایط;56
رشته;55
خودرو;55
اول;55
بوده;55
البته;55
آنها;55
میشود;55
باشم;55
روش;54
تر;54
واتساپ;54
داشتم;53
نباشید;53
سوال;53
دست;53
دهد;53
لازم;53
غذایی;53
بعضی;53
گوشی;53
فکر;52
زیاد;52
داده;52
دکتر;51
سه;51
حالا;51
خانواده;50
خواستم;50
بدن;50
کنه;50
دختر;50
نرم;50
اند;50
2;50
درمان;50
ثبت;49
یعنی;49
نیز;49
بار;49
قیمت;49
بارداری;49
بی;48
مثلا;48
دوستان;48
غیر;48
تحصیل;47
کامپیوتر;47
کودکان;47
توسط;47
باز;47
درس;47
ندارم;47
بنده;46
هفته;46
بگیرم;46
کاری;46
مشکلی;46
عنوان;46
اون;46
حکم;45
خوبی;45
بالا;45
شروع;45
کشور;44
دوره;44
قبل;44
کودک;44
شوم;44
خوردن;44
سر;44
سایت;44
ندارد;43
تفاوت;43
رنگ;43
کدوم;43
نسبت;43
3;43
اضافه;43
چکار;43
دندان;43
تمام;43
علت;43
رابطه;42
حل;42
طور;42
کالا;42
چیکار;42
معرفی;42
ادامه;42
دهم;42
بودن;41
سفارش;41
نام;41
بچه;40
داریم;40
خدمت;40
گرفتن;40
دچار;40
دیجی;39
مدتی;39
حق;39
دلیل;39
تغییر;39
طول;39
میتونم;39
ارائه;39
میتوان;38
افراد;38
همیشه;38
برم;38
افزار;38
حدود;38
توضیح;38
ارشد;37
دوم;37
تهران;37
زیر;37
عرض;37
خاصی;37
عمل;37
مواد;36
انگلیسی;36
دادم;36
کاهش;36
مراجعه;36
راهنماییم;36
کسانی;36
باسلام;36
نظرتون;35
انتخاب;35
موقع;35
نمیدونم;35
بازار;35
خانه;35
بازی;35
باشند;35
تصمیم;35
گیرد;35
ایجاد;35
منظور;35
دستگاه;35
درخواست;35
نحوه;34
1;34
خارج;34
اینترنت;34
زن;34
علاقه;34
دختری;34
درد;33
جای;33
زیادی;33
قابل;33
دادن;33
توصیه;33
تحویل;33
بدم;33
جایز;33
فرد;33
توی;33
حساب;33
سیستم;33
سفر;33
پایین;33
گفته;33
قرص;32
حتی;32
گرفته;32
p;32
بیماری;32
خیر;32
خوبه;32
فروش;32
دهید;32
دارای;32
موضوع;32
تغذیه;32
احساس;31
کارشناسی;31
حکمی;31
دارید;31
سالم;31
ماشین;31
واقعا;31
عکس;31
میکنه;31
نداره;31
شخصی;31
ممکن;31
اقدام;31
جهت;31
برام;31
کامل;30
کتاب;30
کارت;30
خانم;30
وارد;30
پسر;30
جلوگیری;30
همین;30
حد;30
دیگری;30
برخی;30
میزان;30
چربی;29
مرا;29
رفتن;29
نماز;29
میتونه;29
کلاس;29
همان;29
صورتی;29
یادگیری;29
واسه;29
افزایش;29
کمی;29
بسیار;29
اصلا;29
پیام;29
شیر;29
اطلاعات;29
توانند;29
نفر;28
فیلم;28
خواهد;28
حالت;28
شب;28
بفرمایید;28
مشمول;28
موجود;28
ورزش;28
پول;28
محاسبه;28
پوست;28
چنین;28
تحت;28
یاد;28
کسب;28
خون;28
لباس;28
ببینم;28
طریق;27
طرف;27
مدل;27
بکنم;27
مختلف;27
طبیعی;27
تاثیر;27
میکنید;27
جواب;27
جدید;27
style;27
همراه;27
سفید;27
گذاری;27
قانون;27
کولرگازی;26
خواب;26
5;26
جایی;26
موبایل;26
span;26
اینه;26
داخل;26
کمکم;26
داشت;26
پدر;26
خونه;26
بودم;26
شماره;26
مفید;26
همچنین;26
ضمن;26
بخرم;26
بد;25
نمیشه;25
عدم;25
سود;25
زمینه;25
زدن;25
font;25
چطوری;24
ساعت;24
شه;24
فرق;24
گرم;24
کیفیت;24
آموزش;24
قصد;24
مرسی;24
مواردی;24
ارسال;24
اجتماعی;24
بگیریم;24
توانیم;24
راهی;24
خدا;24
گرفتم;24
داشتن;24
دور;24
میکند;24
نمود;24
ارتباط;24
سهام;24
گردد;24
درمانی;23
گیاه;23
مانند;23
ورود;23
علمی;23
انسان;23
بیرون;23
حتما;23
مرغ;23
خشک;23
دوباره;23
10;23
4;23
