topicid;topic;title;content
7;سایر;علم بهتر است یا ثروت؟;"سلام

مطمئن با دیدن این سئوال اولش حتما لبخندی زدین. خوب میدونم این همون سئوالیه که در مدرسه معام جوابشو گفت!

ولی منظورم اینه که به نظر شما بهتره دنبال پول درآوردن باشیم یا ادامه تحصیل، مطالعه و اینجور چیزا؟"
7;سایر;کدام بیمه خودرو بهتره;من قصد دارم ماشینمو (پارس 93) بیمه بدنه و شخص ثالث کنم. شرکت های بیمه ای هم که فراوان در هر خیابانی پیدا میشه. به نظر شما کدام شرکت بیمه بهتره و خوبتر تعهداتشون رو ادا میکنن؟
7;سایر;زندگی در غرب یا در ایران;"سلام. یک سئوال در ذهن برخی از ایرانیان که در آمریکا یا دیگر کشورهای پیشرفته غربی هستند و شک دارند که بمانند یا برگردند اینست که آیا اگر در خارج بمانند به نوعی در حال خدمت به انها هستند یا خیر.

 این افکار گاهی باعث رنج و آزار روحی افرادی که آنجا مانده اند میشود. زیرا احساس میکنند که به نوعی یک حلقه ولو کوچک از زنجیره آن سیستم شده اند در حالیکه آن سیستم در حق کشورهای دیگر بخصوص کشورهای محروم و مسلمان به نفع خود ظلم میکند. نظر شما در این مورد چیست؟ آیا این برداشت و این افکار صحیح است یا خیر؟

با تشکر."
7;سایر;بزرگترین مشکلات اجتماعی جامعه ما چیه؟;"سلام

برای بهبود هرچه بیشتر، باید اول اشکالات را تشخیص داد همونطور که برای درمان، اول باید بیماری رو درست تشخیص داد.

به نظر شما بزرگترین مشکل یا مشکلات جامعه ما چیه؟ (البته منظو.رم این نیست که جامعه خوبی نداریم بلکه میخواهیم بهترش کنیم)."
7;سایر;سایت پرسک چیست؟;"با سلام

ضمن تشکر از زحمات همه کسانی که برای سایت پرسک زحمت کشیدند، هدف از سایت پرسش و پاسخ پرسک porsak.ir چیه؟ آیا میشه هر سئوالی پرسید یا به هر سئوالی که اونجاست هرجوابی بدیم؟ چه فرقی با بقیه سایتهای سئوال و جواب داره؟"
7;سایر;کدام شهر ایران، برا زندگی بهتره؟;کدام شهر ایران به لحاظ شرایط اقلیمی، سطح زندگی و امکانات در مجموع، برا زندگی بهتره؟
7;سایر;اقامت در اروپا;سلام. بین کشورهای اروپایی کدومشون از نظر هزینه زندگی و رفاه برای اقامت بهترند؟
7;سایر;رنگ اتاق خواب;چه رنگی برای اتاق خواب خوبه که هم آرامش بخش باشه هم خیلی بی روح و خسته کننده نباشه؟
7;سایر;چوب های قابل استفاده در مبلمان;بهترین نوع چوب که در مبلمان استفاده میشود چبست؟ چرا؟
7;سایر;کدام مناطق تهران و کرج، هوای بهتری دارن؟;"کدام مناطق تهران و کرج، هوای تمیزتری دارن؟
آیا برای هوای تمیزتر، فقط باید در مناطق خیلی گرون گشت؟"
7;سایر;ارزش به روز بودن چیست؟;<p><strong>به روز بودن چه ارزشی دارد؟ و شامل چه مواردی می شود؟</strong></p>
7;سایر;چطور پاسپورت بگیریم؟;برای اینکه بخوام پاسپورت بگیریم چه نیازمندی های لازم که داشته باشیم؟
7;سایر;چگونه نام خود را تغییر دهیم؟;برای تغییر نام یا فامیلی چه مراحلی را باید طی کنیم؟ و معمولا چقدر طول میکشه تا تغییرات صورت بگیره؟
7;سایر;نکتار به چه معنایی است؟;رو جعبه نوشیدنی ها نوشته نکتار طبیعی میوه، نکتار چیه؟
7;سایر;بادگیرهای خانه های قدیمی;بادگیرها چطوری هوای داخل ساختمون رو خنک می کردند؟ اگه واقعا کارا بودند و می تونستند بدون هزینه خونه رو خنک کنند چرا الان در طراحی های مدرن ازش استفاده نمی شه؟
7;سایر;اولین مدرسه هنر جهان;"سلام، 

من در مورد این موضوع جستجو کردم ولی مطلب موثقی پیدا نکردم که اولین مدرسه هنر در کدام کشور بوده

کسی مطلبی در مورد این موضوع خوانده که بتونه با مرجع بگه"
